title,Authors,Author Affiliations,source_title,Date Added To Xplore,year,volume,Issue,page_start,page_end,abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,author_keywords,index_keywords,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Deep Learning Based Fruit Crop Disease Classification Using Plants Leaf Imagery,A. Joshi; A. Badola; R. Saini,"Computer Science & Engineering, G.B.Pant Institute of Engineering & Technology, Pauri Garhwal, India; Computer Science & Engineering, G.B.Pant Institute of Engineering & Technology, Pauri Garhwal, India; Computer Science & Engineering, G.B.Pant Institute of Engineering & Technology, Pauri Garhwal, India","2024 First International Conference on Electronics, Communication and Signal Processing (ICECSP)",8 Oct 2024,2024,,,1,6,"Agriculture plays an important role in the economy, providing nutrition, food, and livelihoods to billions of people in this world. Fruits are a vital component of a balanced diet, acting as a rich source of antioxidants, vitamins, minerals, and fibres. To ensure its proper supply to the market, early diagnosis and treatment of fruit crop disease can play a significant role. In order to make this process quicker and more accurate, Deep learning (DL) techniques can be of immense help. In the proposed study, the implementation of four DL models: Visual Geometry Group VGG16, VGG19, EfficientNet-B0, and MobileNet is done on a subset of the Plant Village database, constituting 7,233 leaf images of apples and grapes divided into 8 different classes. Evaluation is done through various metrics, namely Precision, Recall, F1-score and Specificity. All the DL models performed well by attaining accuracy above 95%. MobileNet performed best among all DL models by achieving an accuracy of 99.38%, while VGG16, VGG19, and EfficientNet-B0 achieved an accuracy of 96.75%, 98.69% and 98.76% respectively.",,979-8-3503-6459-0,10.1109/ICECSP61809.2024.10698492,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10698492,Crop Disease;Deep Learning;Convolutional Neural Network (CNN);classification;VGG16;VGG19;EfficientNet-B0;MobileNet,Deep learning;Training;Visualization;Accuracy;Biological system modeling;Pipelines;Crops;Visual databases;Tuning;Diseases,,1,,18,IEEE,8 Oct 2024,8-10 Aug. 2024,8-10 Aug. 2024,IEEE,IEEE Conferences
Identification and classification of fungal disease affected on agriculture/horticulture crops using image processing techniques,J. D. Pujari; R. Yakkundimath; A. S. Byadgi,"S.D.M.C.E.T, Dharwar, INDIA; KLE.I.T, Hubli, INDIA; University of Agricultural Sciences, Dharwar, INDIA",2014 IEEE International Conference on Computational Intelligence and Computing Research,7 Sep 2015,2014,,,1,4,"This paper presents a study on the image processing techniques used to identify and classify fungal disease symptoms affected on different agriculture/horticulture crops. Many diseases exhibit general symptoms that are be caused by different pathogens produced by leaves, roots etc. Images Often do not possess sufficient details to assist in diagnosis, resulting in waste of time, misshaping the diagnostician to arrive at incorrect diagnosis. Farmers experience great difficulties and also in changing from one disease control policy to another i.e. intensive use of pesticides. Farmers are also concerned about the huge costs involved in these activities and severe loss. The cost intensity, automatic correct identification and classification of diseases based on their particular symptoms is very useful to farmers and also agriculture scientists. Early detection of diseases is a major challenge in horticulture / agriculture science. Development of proper methodology, certainly of use in these areas. Plant diseases are caused by bacteria, fungi, virus, nematodes, etc., of which fungi is the main disease causing organism. The present study has been focused on early detection and classification of fungal disease and its related symptoms.",,978-1-4799-3975-6,10.1109/ICCIC.2014.7238283,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7238283,fungal disease;agriculture crops;horticulture crops;pattern recognition,Diseases;Agriculture;Accuracy;Feature extraction;Image color analysis;Plants (biology),,37,,20,IEEE,7 Sep 2015,18-20 Dec. 2014,18-20 Dec. 2014,IEEE,IEEE Conferences
An Organized Examination of Image Processing for Detection and Diagnosis of Plant Diseases,M. Naveenkumar; M. Akila,"Department of Computer Science and Engineering, KPR Institute of Engineering and Technology, Coimbatore, India; Department of Computer Science and Engineering, KPR Institute of Engineering and Technology, Coimbatore, India",2023 7th International Conference on Intelligent Computing and Control Systems (ICICCS),8 Jun 2023,2023,,,1288,1299,"Agriculture is one of the most important and necessary sources of national wealth. Plant and crop diseases are one of the major factors that affect output quality and quantity. Lack of quality and quantity in food production creates a negative impact on the economy as well. Hence, it is crucial to identify plant diseases. Studies reveal a wide range of plant diseases occurring in different parts of the world. Various components of plants exhibit symptoms of plant diseases especially, the leaves. Extensive research is conducted across the globe and many horticulture specialists in liaison with technological experts apply computer vision and soft computing methods to automatically detect plant diseases from leaf photos. This article provides a summary of several aspects of such studies, along with their benefits and drawbacks. The authors addresses common infections as well as the state of such detection systems’ research at various stages. The current feature extraction methods are examined in order to determine which one seems to function best across a variety of crop categories. This study will aid researchers in their understanding of the use of computer vision for identifying and categorizing plant diseases.",2768-5330,979-8-3503-9725-3,10.1109/ICICCS56967.2023.10142319,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10142319,Phytopathology;Pathogens;Disease Identification;Machine Learning;Computer Vision,Plant diseases;Computer vision;Horticulture;Crops;Production;Feature extraction;Control systems,,1,,61,IEEE,8 Jun 2023,17-19 May 2023,17-19 May 2023,IEEE,IEEE Conferences
Detection of plant diseases and nutritional deficiencies from unhealthy plant leaves using machine learning techniques,D. Nath; P. K. Dutta; A. K. Bhattacharya,"Amity School of Engineering and Technology, Amity University Kolkata; Amity School of Engineering and Technology, Amity University Kolkata; Division of Post Harvest Management, ICAR-Central Institute for Subtropical HorticultureRehmankhera, P.O. Kakori, Lucknow- 226101, UP",4th Smart Cities Symposium (SCS 2021),9 May 2022,2021,2021,,351,356,"In countries like India, which are majorly dependent on an agricultural economy, detection of crop-disease and classification has immense significance. To support agriculture, automatic disease detection and classification of plant/crop disease has become an important aspect today. Manual disease detection requires enormous amount of labour and involves too much processing-time. Therefore, image-processing plays important role for the detection of crop/plant disease from images of diseased leaves. The proposed method is based on the automatic segmentation and classification of different diseased regions of leaf from the plant/crop images, which works in three steps: In the first step, pre-processing is applied to the captured leaf image that is subjected to median filters and contrast stretching in order to remove the digitization noise and enhance the contrast of the image, respectively. In the second step, K-means clustering algorithm is employed on L*a*b* colour model of leaf image that segments pixels into uniform sets. These segments then are converted into HSV colour model and the segment that has maximum hue value among other segments are extracted as a disease segment. Finally, to the extracted diseased segment we will apply machine learning, i.e., Multi SVM classifier to classify crop image into various categorises of diseases. The same methodology is used to predict the Chlorophyll-Nitrogen content of the leaf and use the SVM classifier to show whether there is an ‘efficiency’ or ‘deficiency’ of nutrients in the crop.",,978-1-83953-658-8,10.1049/icp.2022.0368,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9770610,,,,2,,,,9 May 2022,21-23 Nov. 2021,21-23 Nov. 2021,IET,IET Conferences
Identification of Paddy Leaf Disease using Machine Learning Methods,N. K. S; S. P; R. R,"Department. of Electronics and Comm. Engg., P.A. College of Engineering and Technology, Tamil Nadu, India; Department. of Electronics and Comm. Engg., P.A. College of Engineering and Technology, Tamil Nadu, India; Department. of Electronics and Comm. Engg., P.A. College of Engineering and Technology, Tamil Nadu, India","2024 IEEE International Conference on Signal Processing, Informatics, Communication and Energy Systems (SPICES)",13 Dec 2024,2024,,,1,6,"The skill of growing fruits and vegetables is known as horticulture, and it is the foundation of both business and well-being. Crop observation and disease detection have even taken precedence over conventional methods of modern farming, despite those techniques being rendered outdated by ignorance of plant illnesses, which can result in financial losses. Plant disease detection and treatment strategies are becoming more sophisticated as horticulture moves toward the Industrial Internet of things (IIoT) 5.0. This effort focuses on creating a model that can precisely diagnose rice leaf disease by examining the leaves of rice plants in order to accomplish this aim. Utilizing a logistic regression classification algorithm, the ResNet50 model based on R-CNN has been evaluated with a dataset of plant leaf image information. 97% accuracy is attained with the Resnet-50 model when compared with other models namely, DenseNet-161 and Inception Net V3 +RCNN.",,979-8-3503-7613-5,10.1109/SPICES62143.2024.10779961,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10779961,Image processing;Rice leaf disease;Computer vision;Plant leaf disease diagnosis deep learning,Plant diseases;Machine learning algorithms;Accuracy;Plants (biology);Horticulture;Laboratories;Crops;Transforms;Agriculture;Industrial Internet of Things,,,,20,IEEE,13 Dec 2024,20-22 Sept. 2024,20-22 Sept. 2024,IEEE,IEEE Conferences
Disease Detection in Plants Using KNN Algorithm,S. Garg; D. Dixit; S. S. Yadav,Galgotias University; Galgotias University; Galgotias University,"2022 4th International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)",28 Mar 2023,2022,,,938,943,"India is widely acknowledged as the world's fundamental producer of spices, grains, rice harvests etc. The characteristics of theyield, that defined by the plants growth and harvest. As a result, disease identification in plants is critical in the sector of cultivation. Plants are highly prone to infections, that disturb the plant's progress &, as a result, disrupt the natural balance of the agronomist. The need for an automatic disease detection process is advantageous in identifying a plant disease at an early stage.Pre-processing, feature extraction, segmentation, and classification are all steps in plant disease detection algorithms.The performance of the KNN classifier is examined, and it is discovered that the KNN classifier has higher accuracy and less fault detection than other techniques.",,978-1-6654-7436-8,10.1109/ICAC3N56670.2022.10074491,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10074491,GLCM;KNN;K-means;Plant Disease Detection,Fault diagnosis;Plant diseases;Machine learning algorithms;Rendering (computer graphics);Prediction algorithms;Genetics;Feature extraction,,6,,9,IEEE,28 Mar 2023,16-17 Dec. 2022,16-17 Dec. 2022,IEEE,IEEE Conferences
A Mango Disease Prediction for Smart Agiculture using Machine Learning Algorithms,L. K; A. Packialatha,"Department of Computer Science and Engineering, Vels Institute of Science Technology & Advanced Studies, Chennai, Tamilnadu, India; Department of Computer Science and Engineering, Vels Institute of Science Technology & Advanced Studies, Chennai, Tamilnadu, India","2024 8th International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)",23 Oct 2024,2024,,,1530,1537,"The country's economy relies heavily on agriculture, and the health of the crops is essential to its success. Crop diseases that go undetected can cost the agriculture industry. Thus early detection and identification are crucial. It is possible to avoid crop diseases from destroying the harvest if they are accurately diagnosed and detected. Because healthy and diseased plants appear identical in their early stages, farmers cannot distinguish between the two by watching the crop leaf. India exports vast mangoes, making it an economically and environmentally significant fruit. About 1500 mango species are grown in India, with over 1000 commercial types. There are a lot of diseases that harm mangoes, affecting their look, taste, and economy. The ""Prediction of Disease in Mango Fruit Crops"" A complex warning system that uses machine learning and IoT. One of the main objectives is to develop a system that can forecast disease outbreaks on mango fruit harvests using historical weather information and crop yield Mango trees in India are plagued by a fungus called Anthracnose, which is the most frequent disease of its kind. Anthracnose, a highly contagious fungus, requires a quick and accurate method of diagnosis. As a result, an in-depth examination of the plants is essential before initiating any control measures. This study examines machine learning(ML) and deep learning (DL) strategies for detecting and classifying mango plant diseases. The performance of ML and DL-based classification models for mango crops and their datasets and feature extraction approachesare examined in this work. Finally, a variety of issues involved in plant disease identification are explored.",2768-0673,979-8-3503-7642-5,10.1109/I-SMAC61858.2024.10714657,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10714657,"Internet of Things;Temparature,Disease Detection;Machine Learning;Precision Farming;deep learning",Support vector machines;Deep learning;Plant diseases;Accuracy;Costs;Biological system modeling;Crops;Data models;Agriculture;Internet of Things,,1,,15,IEEE,23 Oct 2024,3-5 Oct. 2024,3-5 Oct. 2024,IEEE,IEEE Conferences
Machine Learning for Accurate and Efficient Pomegranate Fruit Disease Detection: A Novel Approach to Improve Crop Yield and Quality,P. Wakhare; S. Neduncheliyan; P. B. Mane,"Bharath Institute of Higher Education and Research, Tamil Nadu, India; Bharath Institute of Higher Education and Research, Tamil Nadu, India; AISSMS Institute of Information Technology, Pune, Maharashtra","2023 7th International Conference On Computing, Communication, Control And Automation (ICCUBEA)",22 Jan 2024,2023,,,1,5,"This paper presents a web-based tool for identifying diseases in fruit crops to address the negative impact of climate change on agriculture. With the increase in population, there is a growing demand for more food production, which puts pressure on farmers to increase crop yields. However, climate change is causing uneven weather conditions, leading to decreased crop yields. This paper proposes a solution that allows farmers to upload an image of a fruit to a system that has a trained dataset of fruit images. The system uses several image processing steps, including feature extraction based on parameters such as color, morphology, and CCV, followed by clustering using CNN Algorithm and classification using SVM to determine if the fruit is infected or not. An intent search technique is used to find the user intention from the features extracted. The experimental evaluation of the approach shows that it is effective, with a 98.38% accuracy rate in identifying diseases in fruit crops. The proposed tool can be used to identify the diseases that affect fruit crops and provide farmers with timely and accurate information, enabling them to take preventive measures to protect their crops, improve crop yields, and contribute to the overall agricultural economy. The recommendations for the application of the developed machine learning model for pomegranate fruit disease detection include using high-quality data, regularly updating the model, integrating with other detection methods, providing an easy-to-use interface, and providing technical support to growers.",2771-1358,979-8-3503-0426-8,10.1109/ICCUBEA58933.2023.10391966,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10391966,Pomegranate;fruit Disease Detection;Machine Learning Algorithms;Crop Yield;Agricultural Productivity;Deep Learning,Support vector machines;Climate change;Sociology;Machine learning;Production;Feature extraction;Data models,,9,,15,IEEE,22 Jan 2024,18-19 Aug. 2023,18-19 Aug. 2023,IEEE,IEEE Conferences
Identification of Tomato Plant Diseases by Leaf Image Using Squeezenet Model,A. Hidayatuloh; M. Nursalman; E. Nugraha,"Program Studi Ilmu Komputer, Universitas Pendidikan Indonesia, Bandung, Indonesia; Program Studi Ilmu Komputer, Universitas Pendidikan Indonesia, Bandung, Indonesia; Program Studi Ilmu Komputer, Universitas Pendidikan Indonesia, Bandung, Indonesia",2018 International Conference on Information Technology Systems and Innovation (ICITSI),25 Apr 2019,2018,,,199,204,"One of the problems in the field of agriculture is regarding plant diseases. Plant diseases can cause a decrease in agricultural production. Therefore, early detection and diagnosis of plant diseases is very important. Plant diseases often appear on the leaves, and the characteristics of the affected leaves can be varied and difficult to distinguish. This makes it difficult to identify the disease automatically. Increased smartphone usage and advances in the field of computer vision through deep learning have made it possible to connect smartphones as a tool in diagnosing diseases. Plants used as case studies in this study were tomato plants. The method used is Convolutional Neural Network (CNN). This CNN method has many types based on the architecture it builds, one of which is squeezenet architecture. Squeezenet architecture can produce a model with a relatively small size, so that the model can be implemented on smartphone devices, server computing, and microcontroller devices. This research will focus on building a model based on squeezenet architecture to classify seven types of tomato plant diseases on the leaves including healthy leaves. The model is built using the help of Keras deep learning frameworks. The data used in this study is the image of tomato plant leaves obtained from the Vegetable Crops Research Institute (Balitsa) in Lembang, West Java. With 200 classes for each class. This study has successfully detected tomato plant disease through its leaf image automatically with an average accuracy of identification of 86.92%.",,978-1-5386-5693-8,10.1109/ICITSI.2018.8696087,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8696087,tomato plant diseases;convolutional neural network;squeezenet architecture;deep learning;computer vision;balitsa;keras,Diseases;Computer architecture;Training;Data models;Deep learning;Plants (biology);Computational modeling,,54,,6,IEEE,25 Apr 2019,22-26 Oct. 2018,22-26 Oct. 2018,IEEE,IEEE Conferences
Deep Learning Approach for Recognition and Classification of Tomato Fruit Diseases,A. S. Nagesh; G. N. Balaji,"Department of Information Technology, CVR College of Engineering, Ibrahimpattnam; School of Computer Science and Engineering, Vellore Institute of Technology, Vellore","2022 International Conference on Data Science, Agents & Artificial Intelligence (ICDSAAI)",2 Feb 2023,2022,1,,1,6,"Diseases devastate food crops, causing significant losses for farmers and jeopardising food security, resulting in a low production rate. Health monitoring and disease detection are critical for sustainable agriculture. Monitoring the fruit diseases manually is extremely difficult. It necessitates a significant amount of work, knowledge of fruit diseases, and an extended processing time. Hence, deep learning is used to detect fruit diseases with high accuracy. This paper proposes the method to detect the tomato fruit diseases in color images. In the proposed method, convolutional neural network is used for extracting the features and classification. Further, the augmentation strategy is applied on existing samples to create the dataset with large number of samples. The convolutional neural network method based on VGG16 will be used to train augmented data for recognition and classification of tomato diseases. The results of the CNN after testing affirms that the tomato disease can be predicted efficiently, and it can be utilised for early detection purpose.",,979-8-3503-3384-8,10.1109/ICDSAAI55433.2022.10028790,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10028790,Convolutional Neural Network;Deep Learning;Disease detection;VGG16,Deep learning;Measurement;Production;Feature extraction;Market research;Agriculture;Convolutional neural networks,,6,,19,IEEE,2 Feb 2023,8-10 Dec. 2022,8-10 Dec. 2022,IEEE,IEEE Conferences
