"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ER8Q9HJG","bookSection","2020","Balakrishna, K.","Fusion approach-based horticulture plant diseases identification using image processing","Applications of Advanced Machine Intelligence in Computer Vision and Object Recognition: Emerging Research and Opportunities","978-1-7998-2738-2","2327-042X","10.4018/978-1-7998-2736-8.ch005","http://dx.doi.org/10.4018/978-1-7998-2736-8.ch005","Plant disease is the major threat to the productivity of the plants. Identification of the plant diseases is the key to prevent the losses in the productivity and quality of the yield. It is a very challenging task to identify diseases detection on the plant for sustainable agriculture, where it requires a tremendous amount of work, expertise in the plant disease, and also requires excessive processing time. Hence, image processing is used here for detection of diseases in multi-horticulture plants such as alternaria alternata, anthracnose, bacterial blight, and cercospora leaf spot and also addition with the healthy leaves. In the first stage, the leaf is classified as healthy or unhealthy using the KNN approach. In the second stage, they classify the unhealthy leaf using PNN, SVM, and the KNN approach. The features are like GLCM, Gabor, and color are used for classification purposes. Experimentation is conducted on the authors own dataset of 820 healthy and unhealthy leaves. The experimentation reveals that the fusion approach with PNN and SVM classifier outperforms KNN methods.","2020","2026-01-24 00:34:03","2026-01-24 00:34:03","","119-132","","","","","","","","","","","IGI Global","","","","","","","","","","","/home/aalejoz25/Zotero/storage/5HSKXYTK/Balakrishna - 2020 - Fusion approach-based horticulture plant diseases identification using image processing.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QW342JP","journalArticle","2023","Hosny, Khalid M.; El-Hady, Walaa M.; Samy, Farid M.; Vrochidou, Eleni; Papakostas, George A.","Multi-Class Classification of Plant Leaf Diseases Using Feature Fusion of Deep Convolutional Neural Network and Local Binary Pattern","IEEE Access","","2169-3536","10.1109/ACCESS.2023.3286730","https://ieeexplore.ieee.org/document/10153610/","","2023","2026-01-24 00:34:03","2026-01-24 00:34:03","","62307-62317","","","11","","","","","","","","","","","","","","","","","","","/home/aalejoz25/Zotero/storage/QRF4KSPP/Hosny et al. - 2023 - Multi-Class Classification of Plant Leaf Diseases Using Feature Fusion of Deep Convolutional Neural.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68ZB2UMT","conferencePaper","2025","Prajwal, G. S.; Deepak, Aishwarya; Kumar, K. R. Sharath; Varshini, J.; Kumar, V. Ravi; Gagana, S.; Kumar, L. Vijay; Manjunath, Girigowda","Stage-Wise Late Blight Disease Detection in Tomato Plants Using Deep Learning Models along with Treatment Recommendation","2025 Annual International Conference on Data Science, Machine Learning and Blockchain Technology (AICDMB)","979-8-3315-4216-0","","10.1109/AICDMB64359.2025.11277487","https://ieeexplore.ieee.org/document/11277487/","","2025-06","2026-01-24 00:34:03","2026-01-24 00:34:03","","1-10","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/SDQC5ZAQ/Prajwal et al. - 2025 - Stage-Wise Late Blight Disease Detection in Tomato Plants Using Deep Learning Models along with Trea.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9YFUYTYU","journalArticle","2025","Liu, Qin; Zhou, Zhibin; Xiong, Lu; Lu, Meilian; Ouyang, Jingwen","YOLO-RDM: Innovative Detection Methods for Eggplants and Stems in Complex Natural Environment","IEEE Access","","2169-3536","10.1109/ACCESS.2025.3545670","https://ieeexplore.ieee.org/document/10902400/","","2025","2026-01-24 00:34:03","2026-01-24 00:34:03","","37656-37672","","","13","","","","","","","","","","","","","","","","","","","/home/aalejoz25/Zotero/storage/XSQTJ7UL/Liu et al. - 2025 - YOLO-RDM Innovative Detection Methods for Eggplants and Stems in Complex Natural Environment.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6XUHIWL8","conferencePaper","2021","Mathew, Deepthy; Kumar, C. Sathish; Cherian, K. Anita","Application of discrete orthonormal Stockwell transform and local neighborhood patterns for leaf disease classification in banana","2021 International Conference on Communication, Control and Information Sciences (ICCISc)","978-1-6654-0295-8","","10.1109/ICCISc52257.2021.9484860","https://ieeexplore.ieee.org/document/9484860/","","2021-06","2026-01-24 00:34:03","2026-01-24 00:34:03","","1-5","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/Z7XPUREX/Mathew et al. - 2021 - Application of discrete orthonormal Stockwell transform and local neighborhood patterns for leaf dis.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X8JZ8ID5","conferencePaper","2022","D, Ram Nivas; R, Abimanyu; G, Deepak; S, Guru Prasanth","Plant Health Monitoring System and Smart Gardening using IoT","2022 IEEE International Conference on Data Science and Information System (ICDSIS)","978-1-6654-9801-2","","10.1109/ICDSIS55133.2022.9915830","https://ieeexplore.ieee.org/document/9915830/","","2022-07","2026-01-24 00:34:03","2026-01-24 00:34:03","","1-5","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/6BINXWW6/D et al. - 2022 - Plant Health Monitoring System and Smart Gardening using IoT.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2U94FC4Z","conferencePaper","2022","Amarnath, J. Jegan; V, Vishnupriya; D, Smriti Mary","Hybrid Model of K-Means Clustering and SVM to Detect Ailments in Vegetables","2022 1st International Conference on Computational Science and Technology (ICCST)","978-1-6654-7655-3","","10.1109/ICCST55948.2022.10040394","https://ieeexplore.ieee.org/document/10040394/","","2022-11","2026-01-24 00:34:03","2026-01-24 00:34:03","","716-720","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/KEVFB7IT/Amarnath et al. - 2022 - Hybrid Model of K-Means Clustering and SVM to Detect Ailments in Vegetables.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BE4JHH7","conferencePaper","2023","Naveenkumar, M.; Akila, M.","An Organized Examination of Image Processing for Detection and Diagnosis of Plant Diseases","2023 7th International Conference on Intelligent Computing and Control Systems (ICICCS)","979-8-3503-9725-3","","10.1109/ICICCS56967.2023.10142319","https://ieeexplore.ieee.org/document/10142319/","","2023-05","2026-01-24 00:34:03","2026-01-24 00:34:03","","1288-1299","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/8C88HMRI/Naveenkumar and Akila - 2023 - An Organized Examination of Image Processing for Detection and Diagnosis of Plant Diseases.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FUJ5NAKU","conferencePaper","2025","Padma, A.; Suresh, P.; Narsimlu, G.; Amarnath, M.; Sreedhar, B. R.","Artificial Intelligence-Powered Internet of Things for Farming and Plant Research","2025 International Conference on Electronics and Renewable Systems (ICEARS)","979-8-3315-0967-5","","10.1109/ICEARS64219.2025.10940749","https://ieeexplore.ieee.org/document/10940749/","","2025-02","2026-01-24 00:34:03","2026-01-24 00:34:03","","592-595","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/2GAGEGFT/Padma et al. - 2025 - Artificial Intelligence-Powered Internet of Things for Farming and Plant Research.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBFHCZBD","conferencePaper","2025","S, Gladson Oliver; Perugu, Prathusha; S, Jeevitha; Mahajan, Rashima; A, Jasmine Gnana Malar; Sheeja, Raghavan; AhilanAppathurai; Aarti","Deep Learning-based Mango Leaf Disease Detection using Yolov8","2025 3rd International Conference on Advancement in Computation &amp; Computer Technologies (InCACCT)","979-8-3315-4389-1","","10.1109/InCACCT65424.2025.11011320","https://ieeexplore.ieee.org/document/11011320/","","2025-04","2026-01-24 00:34:03","2026-01-24 00:34:03","","881-885","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/FJ6MTG4S/S et al. - 2025 - Deep Learning-based Mango Leaf Disease Detection using Yolov8.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
