fuente|authors|author_full_names|scopus_author_id|title|year|source_title|volume|issue|art|page_start|page_end|page_count|cited_by|DOI|link|abstract|author_keywords|index_keywords|document_type|publication_stage|open_access|source|EID|h_index_autor|h_index_revista|cuartil|author_orcid|issn|cuartil_numerico|h_index_revista_num|h_index_autor_max
IEEE|K. M. Hosny; W. M. El-Hady; F. M. Samy; E. Vrochidou; G. A. Papakostas|||Multi-Class Classification of Plant Leaf Diseases Using Feature Fusion of Deep Convolutional Neural Network and Local Binary Pattern|2023|IEEE Access|11.0|0||62307|62317|0|113|10.1109/ACCESS.2023.3286730||Plant diseases are one of the primary causes of decreased agricultural production quality and quantity. With ongoing changes in plant structure and cultivation techniques, new diseases are constantly arising on plant leaves. Thus, accurate classification and detection of plant leaf diseases in their early stages will limit the spread of the infection and support the healthy development of plant production. This work proposes a novel lightweight deep convolutional neural network (CNN) model for obtaining high-level hidden feature representations. The deep features are then fused with traditional handcrafted local binary pattern (LBP) features to capture local texture information in plant leaf images. The proposed model is trained and tested on three publicly available datasets (Apple Leaf, Tomato Leaf, and Grape Leaf). On the three datasets, the proposed approach achieves 99%, 96.6%, and 98.5% validation accuracies, respectively, and 98.8%, 96.5%, and 98.3% test accuracies, respectively. The results of the experiments show that the proposed approach can provide a better control solution for plant diseases.|Convolutional neural network (CNN);feature fusion;local binary pattern (LBP);multi-class classification;plant leaf diseases;precision agriculture;computer vision|Feature extraction;Convolutional neural networks;Plant diseases;Plants;Agriculture;Plant diseases;Computer vision;Precision engineering||||IEEE||45; 12; 4; 18; 38|341.0|Q1|https://orcid.org/0000-0001-8065-8977; https://orcid.org/0000-0002-0148-8592; https://orcid.org/0000-0001-5545-1499|['2169-3536']|1|341.0|45.0
IEEE|Q. Liu; Z. Zhou; L. Xiong; M. Lu; J. Ouyang|||YOLO-RDM: Innovative Detection Methods for Eggplants and Stems in Complex Natural Environment|2025|IEEE Access|13.0|0||37656|37672|0|3|10.1109/ACCESS.2025.3545670||Accurate identification of eggplants and their stems in complex environments is crucial for the research on intelligent harvesting equipment for eggplants. Current object detection methods have limited and traditional approaches to eggplant research. To achieve rapid identification of eggplants and stems in complex environments and enhance overall accuracy, this study establishes a database for eggplants and stems and proposes an efficient detection model based on the YOLOv8n network. First, a lightweight Receptive-Field Attention Convolution (RFAConv) and Mixed Local Channel Attention (MLCA) attention mechanism are used to design the C2f_RM module, replacing the C2f module in YOLOv8n to create a lightweight yet effective model. Next, the DD-Head structure reparameterization detection head module is integrated, effectively merging deep and shallow information while retaining small-scale target feature information to improve detection accuracy. Finally, the loss function is substituted with the MPDIoU loss, optimizing the bounding box regression algorithm and enhancing convergence speed and regression accuracy. The proposed YOLO-RDM model (C2f_RM, DD-Head, MPDIoU) attains an average accuracy of 93.6% on the dataset, representing a 3.4% improvement over the original YOLOv8n model. Detection accuracies for eggplants and stems increased by 1.1% and 5.8%, respectively. Additionally, the F1 score improved by 4.96%, reaching 89.09%. This model demonstrates superior detection performance and robustness for both eggplants and their stems, providing valuable technical support for the automation of eggplant harvesting.|Eggplant detection;computer vision;digital agriculture;small object detection;yolov8n|Accuracy;Feature extraction;Computational modeling;Head;Convolution;Training;Object segmentation;Lighting;Image color analysis;Attention mechanisms||||IEEE||29; 2; 8; 2; 41|341.0|Q1|https://orcid.org/0000-0001-8402-6491; https://orcid.org/0000-0001-5598-675X; https://orcid.org/0000-0002-3420-9203; https://orcid.org/0000-0001-5902-7070|['2169-3536']|1|341.0|41.0
IEEE|R. Krishna; K. V. Prema|||Constructing and Optimizing RNN Models to Predict Fruit Rot Disease Incidence in Areca Nut Crop Based on Weather Parameters|2023|IEEE Access|11.0|0||110582|110595|0|14|10.1109/ACCESS.2023.3311477||A farmer faces several challenges associated with fruit rot disease in the areca nut crop. Weather factors, including rainfall and temperature, largely influence the disease severity and spread of infection in crops. Significant growth has been achieved using RNN models for time series forecasting in the past few decades, but these models are not applied to fruit rot disease prediction. This study introduces Vanilla GRU, Stacked GRU, Bidirectional GRU, and Bidirectional LSTM models for the inaugural prediction of fruit rot disease scores using past weather data. The current investigation also involves the mitigation and comparison of forecast inaccuracies by utilising weight optimisation algorithms like Adam, Adagrad, RMSprop, and Genetic algorithms. Meteorological and disease score data are gathered from the Agricultural Research Station in Brahmavar, Karnataka, and CPCRI Kasargod, Kerala. These datasets are combined using a rule-based algorithm to train and evaluate the proposed model. Empirical outcomes reveal that the vanilla GRU model, when fine-tuned with the Adam algorithm, exhibits a diminished Mean Squared Error (MSE) value of 0.0009, an exceptionally minimal Mean Absolute Error (MAE) value of 0.02, and an elevated R-squared (R2) score of 0.99. Similarly, the Bidirectional LSTM model, optimised through RMSprop, yields an impressively low Root Mean Squared Error (RMSE) value of 0.033. Generally, the optimised Deep Learning (DL) models consistently demonstrate enhanced predictive precision compared to alternative models. In conclusion, the anticipation of areca nut disease, as facilitated by this study, stands to aid farmers in curtailing unnecessary fungicide application and achieving more favourable yields.|Areca nut;deep learning;disease prediction;fruit rot disease;genetic algorithm;gated recurrent unit;optimisation;weather|Diseases;Optimization;Predictive models;Prediction algorithms;Meteorology;Neural networks;Genetic algorithms;Deep learning;Crops;Agricultural products;Optimization methods;Weather forecasting||||IEEE||4; 13|341.0|Q1|https://orcid.org/0000-0003-1924-039X|['2169-3536']|1|341.0|13.0
Scopus|Safari, Y.; Nakatumba-Nabende, J.; Nakasi, R.; Nakibuule, R.|Safari, Yonasi (58882756100); Nakatumba-Nabende, Joyce (59157756300); Nakasi, Rose (57211255746); Nakibuule, Rose (36554604500)|58882756100; 59157756300; 57211255746; 36554604500|A Review on Automated Detection and Assessment of Fruit Damage Using Machine Learning|2024|IEEE Access|12|0||21358.0|21381.0|0|23|10.1109/ACCESS.2024.3362230|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184808881&doi=10.1109%2FACCESS.2024.3362230&partnerID=40&md5=4642a80c62eb69bdeb0653c3adf50fa5|Automation improves the quality of fruits through quick and accurate detection of pest and disease infections, thus contributing to the country's economic growth and productivity. Although humans can identify the fruit damage caused by pests and diseases, the methods used are inconsistent, time-consuming, and variable. The surface features of fruits typically observed by consumers who seek their health benefits affect their market value. The issue of pest and disease infections further deteriorates fruits' quality, becoming a mounting stressor on farmers since they reduce the potential revenue from fruit production, processing, and export. This article reviews various studies on detecting and classifying damages in fruits. Specifically, we review articles where state-of-the-art approaches under segmentation, image processing, machine learning, and deep learning have proved effective in developing automated systems that address hurdles associated with manual methods of assessing damage using visual experiences. This survey reviews thirty-two journal and conference papers from the past thirteen years that were found electronically through Google Scholar, Scopus, IEEE, ScienceDirect, and standard online searches. This survey further presents a detailed discussion of previous research done in the past while emphasizing their strengths and limitations as well as outlining potential future research topics. It also reveals that much as the use of automated detection and classification of fruit damage has yielded promising results in the horticulture industry, more research is still needed with systems required to fully automate the detection and classification processes, especially those that are mobile phone-based towards addressing occlusion challenges. © 2013 IEEE.|classification; deep learning; Fruit damage detection; image analysis; segmentation|Automation; Biological systems; Classification (of information); Deep learning; Disease control; Feature extraction; Fruits; Image classification; Image segmentation; Internet of things; Search engines; Automated assessment; Biological system modeling; Features extraction; Fruit damage detection; Image-analysis; Images segmentations; Machine-learning; Plant disease; Smart agricultures; Damage detection|Article|Final|All Open Access; Gold Open Access|Scopus|2-s2.0-85184808881|2; 12; 8; 4|341.0|Q1|https://orcid.org/0000-0002-5411-4201; https://orcid.org/0000-0002-0108-3798; https://orcid.org/0009-0000-3009-1829|['2169-3536']|1|341.0|12.0
Scopus|Cai, Z.; Farhana, N.; Karim, A.M.; Zhai, F.; Huang, W.; Guo, M.|Cai, Zhaopeng (60092905000); Farhana, Nadia (57205147086); Karim, Asif Mahbub (57215193574); Zhai, Fengyan (57790891700); Huang, Wenwen (57985021800); Guo, Meng (60121036500)|60092905000; 57205147086; 57215193574; 57790891700; 57985021800; 60121036500|IMNM: integrated multi-network model for identifying pepper leaf diseases|2025|Frontiers in Plant Science|16|0|1558349|||0|0|10.3389/fpls.2025.1558349|https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017510818&doi=10.3389%2Ffpls.2025.1558349&partnerID=40&md5=45db306d24ddc4846560f86566ca2bc7|As a vegetable crop with high economic value, the yield of pepper is often significantly restricted by leaf diseases, and the spots formed by these diseases on the surface of leaves are highly complex in color and texture characteristics. To overcome the shortcomings of traditional manual identification methods, such as low efficiency, time-consuming, and labor-consuming, an integrated multi-network model (IMNM) was established by combining an improved ResNet, a dynamic convolution network (DCN), and a progressive prototype network (PPN), which was aimed at five typical pepper leaf samples (healthy, virus, leaf blight, brown spot, and phyllosticta). The experimental results show that IMNM achieves 98.55% accuracy in pepper disease identification, which is significantly better than the benchmark models such as Inception-V4, ShuffleNet-V3, and EfficientNet-B7. In the cross-species generalization verification, the average identification accuracy of the model for apple, wheat, and rice leaf diseases increased to 99.81%, and its four core indicators of specificity, precision, sensitivity, and accuracy were all stable over 98%. This demonstrates that IMNM can effectively analyze the color and texture characteristics of highly heterogeneous disease spots and possesses strong cross-crop generalization capabilities. Its technical path lays a theoretical foundation for the development of field mobile disease diagnosis equipment based on deep learning, and is of great value for promoting the engineering application of an intelligent monitoring system for crop diseases and insect pests. © © 2025 Cai, Farhana, Karim, Zhai, Huang and Guo.|deep learning; identifying; integrated; multi-network model; pepper leaf diseases|Desconocido|Article|Final|All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access|Scopus|2-s2.0-105017510818|18; 2; 14; 1; 13; 14|311.0|Q1|https://orcid.org/0000-0002-7546-290X; https://orcid.org/0000-0001-6654-7496; https://orcid.org/0000-0002-3305-3868; https://orcid.org/0000-0001-5772-2272|['1664-462X']|1|311.0|18.0
ScienceDirect|Emre Ece; Ismail Eş; Fatih Inci|||Microneedle technology as a new standpoint in agriculture: Treatment and sensing|2023|Materials Today|68|0||275|297|0|33|https://doi.org/10.1016/j.mattod.2023.07.002|https://www.sciencedirect.com/science/article/pii/S1369702123002195|Preventing plant loss and improving their health status are essential for agricultural industry. Correspondingly, the deprivation of plants severely impacts our ecological system. As such, global efforts have been intensely made to promote the development of advanced sensing and treatment platforms to forestall plant loss. Existing technologies mainly encounter a number of challenges in providing results in a non-invasive, rapid turnaround, and affordable fashions. Accordingly, notable progressions in innovative approaches—particularly biosensing and delivery platforms, are vastly required for agriculture realm. In this regard, microneedles have emerged as a pivotal technological tool that plays multifaceted roles in biosensing and delivery systems, with attention of growing towards agriculture. Simply put, microneedles offer several advantages over conventional methods for being less invasive, rapid, and highly precise. In this review, recent advancements in microneedle technologies including their implementations in agriculture are highlighted coherently. In particular, extracting DNA from plant leaves and expressing transient genes using microneedles are elaborated in details. Microneedle-based sensing platforms for detecting essential compounds and secondary metabolites are discussed as well. Recent advances focusing the delivery of agrochemicals and nanotherapeutics via microneedles are elaborated. By this means, this review aims to bridge the existing gaps between microneedles and agriculture precisely.||Desconocido||||ScienceDirect||4; 26; 43|285.0|Q1|https://orcid.org/0000-0002-9357-5086; https://orcid.org/0000-0002-7369-1039; https://orcid.org/0000-0002-9918-5038|['1369-7021', '1873-4103']|1|285.0|43.0
Scopus|Sharma, M.; Kaushik, P.; Chawade, A.|Sharma, Meenakshi (57214452608); Kaushik, Prashant (56967816100); Chawade, Aakash (19638539700)|57214452608; 56967816100; 19638539700|Frontiers in the solicitation of machine learning approaches in vegetable science research|2021|Sustainability (Switzerland)|13|15|8600|||0|9|10.3390/su13158600|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112592072&doi=10.3390%2Fsu13158600&partnerID=40&md5=7ca3ebd4b44071fc25e510e68f1aa3f6|Along with essential nutrients and trace elements, vegetables provide raw materials for the food processing industry. Despite this, plant diseases and unfavorable weather patterns continue to threaten the delicate balance between vegetable production and consumption. It is critical to utilize machine learning (ML) in this setting because it provides context for decision-making related to breeding goals. Cutting-edge technologies for crop genome sequencing and phenotyping, combined with advances in computer science, are currently fueling a revolution in vegetable science and technology. Additionally, various ML techniques such as prediction, classification, and clustering are frequently used to forecast vegetable crop production in the field. In the vegetable seed industry, machine learning algorithms are used to assess seed quality before germination and have the potential to improve vegetable production with desired features significantly; whereas, in plant disease detection and management, the ML approaches can improve decision-support systems that assist in converting massive amounts of data into valuable recommendations. On similar lines, in vegetable breeding, ML approaches are helpful in predicting treatment results, such as what will happen if a gene is silenced. Furthermore, ML approaches can be a saviour to insufficient coverage and noisy data generated using various omics platforms. This article examines ML models in the field of vegetable sciences, which encompasses breeding, biotechnology, and genome sequencing. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.|Biotechnology; Breeding; Genomics; Machine learning; Models; Predictions; Vegetables|decision making; food processing; genome; machine learning; research work; vegetable|Review|Final|All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access|Scopus|2-s2.0-85112592072|12; 35; 31|273.0|Q1|https://orcid.org/0000-0002-4671-5365; https://orcid.org/0000-0002-3145-2849; https://orcid.org/0000-0002-6500-4139|['2071-1050']|1|273.0|35.0
ScienceDirect|Cheng Xue Law; Norhashila Hashim; Siti Izera Ismail; Mahirah Jahari; Dimas Firmanda {Al Riza}|||A review on anthracnose disease caused by Colletotrichum spp. in fruits and advances in control strategies|2025|International Journal of Food Microbiology|442|0||111397||0|1|https://doi.org/10.1016/j.ijfoodmicro.2025.111397|https://www.sciencedirect.com/science/article/pii/S0168160525003423|Fruits are a vital source of essential vitamins, minerals, and antioxidants necessary for human health and well-being. However, fruit production is often hampered by diseases that cause substantial yield losses and compromise fruit quality. Among these, anthracnose caused by various species of the Colletotrichum genus stands out as a particularly destructive disease, affecting a wide range of fruit crops and resulting in significant preharvest and postharvest losses worldwide. This review explores the impact of anthracnose across diverse fruit categories, including temperate fruits, berries, citrus, and tropical fruits. Furthermore, it provides a comprehensive overview of the life cycle and pathogenic mechanisms of Colletotrichum spp., emphasizing their remarkable adaptability to different host fruits. Advances in management strategies are also explored, emphasizing the need for sustainable approaches. While chemical fungicides remain widely used, their overuse has led to resistance development and environmental concerns. Promising alternatives include biological control agents and natural compounds like essential oils and chitosan-based coatings, and physical treatments, such as heat and UV-C irradiation, are also discussed. Future trends are also highlighted. This review provides a new insight of anthracnose across fruit categories, integrating current knowledge on pathogen biology, host-pathogen interactions, and innovative control measures. Future research should prioritize the development of integrated management strategies tailored to specific fruit categories, ensuring sustainable production, enhanced fruit quality, and reduced postharvest losses.||Desconocido||||ScienceDirect||2; 36; 21; 11; 19|262.0|Q1|https://orcid.org/0000-0002-9063-5960; https://orcid.org/0000-0003-1904-4890; https://orcid.org/0000-0003-2695-696X; https://orcid.org/0000-0001-6790-6729|['0168-1605', '1879-3460']|1|262.0|36.0
ScienceDirect|Shuangqian Shen; Chuansong Zhan; Chenkun Yang; Alisdair R. Fernie; Jie Luo|||Metabolomics-centered mining of plant metabolic diversity and function: Past decade and future perspectives|2023|Molecular Plant|16|1||43|63|0|236|https://doi.org/10.1016/j.molp.2022.09.007|https://www.sciencedirect.com/science/article/pii/S167420522200301X|Plants are natural experts in organic synthesis, being able to generate large numbers of specific metabolites with widely varying structures that help them adapt to variable survival challenges. Metabolomics is a research discipline that integrates the capabilities of several types of research including analytical chemistry, statistics, and biochemistry. Its ongoing development provides strategies for gaining a systematic understanding of quantitative changes in the levels of metabolites. Metabolomics is usually performed by targeting either a specific cell, a specific tissue, or the entire organism. Considerable advances in science and technology over the last three decades have propelled us into the era of multi-omics, in which metabolomics, despite at an earlier developmental stage than genomics, transcriptomics, and proteomics, offers the distinct advantage of studying the cellular entities that have the greatest influence on end phenotype. Here, we summarize the state of the art of metabolite detection and identification, and illustrate these techniques with four case study applications: (i) comparing metabolite composition within and between species, (ii) assessing spatio-temporal metabolic changes during plant development, (iii) mining characteristic metabolites of plants in different ecological environments and upon exposure to various stresses, and (iv) assessing the performance of metabolomics as a means of functional gene identification , metabolic pathway elucidation, and metabolomics-assisted breeding through analyzing plant populations with diverse genetic variations. In addition, we highlight the prominent contributions of joint analyses of plant metabolomics and other omics datasets, including those from genomics, transcriptomics, proteomics, epigenomics, phenomics, microbiomes, and ion-omics studies. Finally, we discuss future directions and challenges exploiting metabolomics-centered approaches in understanding plant metabolic diversity.||Desconocido||||ScienceDirect||17; 12; 18; 167; 12|226.0|Q1|https://orcid.org/0000-0002-8459-0831; https://orcid.org/0000-0002-4050-441X; https://orcid.org/0000-0001-9026-1666; https://orcid.org/0000-0001-9000-335X|['1674-2052', '1752-9859', '1752-9867']|1|226.0|167.0
ScienceDirect|Moran Zhang; Shengyong Xu; Yutong Han; Dongping Li; Shuo Yang; Yuan Huang|||High-throughput horticultural phenomics: The history, recent advances and new prospects|2023|Computers and Electronics in Agriculture|213|0||108265||0|10|https://doi.org/10.1016/j.compag.2023.108265|https://www.sciencedirect.com/science/article/pii/S0168169923006531|With the development of advanced sensors, artificial intelligence, and computer vision, horticultural phenomics has made great progress in recent years. However, there is a lack of systematic reviews to discuss the horticultural phenomics and its applications at present. In this paper, we aim to fill this gap by providing a comprehensive review of the past developments, recent advances and existing challenges. Furthermore, we propose conception and give our prospects of high-throughput horticultural phenomics. We envision that horticultural phenomics will evolve towards multiscale, multidimension, multiperiod approach in the near future. This transformation will enable researchers to better realize the physiological processes, understand the genetic composition and develop new cultivars of horticultural plants that are better adapted to specific environments. Consequently, it will greatly promote the omics research in horticultural plants. In addition to advancing scientific research, high-throughput horticultural phenomics can also assist growers in efficient crop management, leading to improved yield and quality of horticultural products. However, it is important to acknowledge the challenges that need to be overcome. Once these challenges are addressed, high-throughput horticultural phenomics will become increasingly important in the fight against climate changes and maximizing profits.||Desconocido||||ScienceDirect||5; 29; 32; 16; 7; 38|210.0|Q1|https://orcid.org/0000-0002-9066-821X; https://orcid.org/0000-0001-9567-5980; https://orcid.org/0000-0003-3726-6315; https://orcid.org/0009-0003-9967-1145; https://orcid.org/0000-0002-4710-8671; https://orcid.org/0000-0002-9538-9746|['0168-1699', '1872-7107']|1|210.0|38.0
