fuente|authors|author_full_names|Author_ID|title|year|source_title|volume|issue|art|page_start|page_end|page_count|cited_by|DOI|link|abstract|author_Keywords|index_keywords|document_type|publication_stage|open_access|source|EID
scopus||||Future of Information and Communication Conference, FICC 2025|2025|Lecture Notes in Networks and Systems|1283 LNNS|||||2265|0||https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000643403&partnerID=40&md5=f731da4dbd030d96147c0de7329df1c6|The proceedings contain 138 papers. The special focus in this conference is on Future of Information and Communication. The topics include: Robots in Healthcare: Measuring Acceptance of Professional Caregivers Towards Finding Key Requirements for System Design; a Human-Centric Architecture for Natural Interaction with Organizational Systems; industrial Metaverse for Smart Manufacturing: Ecosystem Architecture and Applications; centralised Graph-Based Collision-Free Air Traffic Management Approach for Autonomous Aerial Vehicle Navigation; phytoNode Upgraded: Energy-Efficient Long-Term Environmental Monitoring Using Phytosensing; evaluating the Socio-Economic Impacts of Hyperloop Technology Through the Lens of Labour Market: A Focus on Intelligent Transportation, Case of Latvia; Human-In-The-Loop Reasoning for Traffic Sign Detection: Collaborative Approach YOLO with Video-LLaVA; Reasoning with Generative AI; “Model Cards for Model Reporting” in 2024: Reclassifying Category of Ethical Considerations in Terms of Trustworthiness and Risk Management; robotic Process Automation in Software Testing: Challenges and Open Research Directions; chatbot Personas as a Gateway to Enhanced Learning Experiences; is It Time to Start Taking the Concept of a Holodeck Seriously?; agent for Machine Learning: A Text-to-Model (T2M) Approach; The Theory of Cybernetics for Managing Human-AI Interactions: A Framework for AI Management; steering Toward Trustworthiness: A Speech-Act Theory Perspective on Building Trust in Language Models for Autonomous Vehicle Applications; fingerprint Synthesis from Diffusion Models and Generative Adversarial Networks; Easy Problems that LLMs Get Wrong; socratic Dialogue with Generative Artificial Intelligence: Where is the Future?; Vectoring Languages: A High-Dimensional Perspective of Language to Bridge the Gap Between Philosophy and AI Science; The Elephant in the Room: Why AI Safety Demands Diverse Teams; exploring Foundation Model Fusion Effectiveness and Explainability for Stylistic Analysis of Emotional Podcast Data; machine Learning Enabled Earthquake Classification with Real Time Monitoring and Alert System.|||Conference review|Final||Scopus|2-s2.0-105000643403
scopus|Adline Freeda R.; Sudha K.|Adline Freeda, R. (57191618601); Sudha, K. (59978506500)|57191618601; 59978506500|Top AI-powered tools for software test automation|2025|Artificial Intelligence for Cloud-Native Software Engineering||||263|282|19|0|10.4018/979-8-3693-9356-7.ch010|https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009879839&doi=10.4018%2f979-8-3693-9356-7.ch010&partnerID=40&md5=fa5450c30d35dfed9337edaba11b722b|As software systems become more complex, there is also an acute need for efficient, accurate, and scalable testing solutions. While traditional test automation is indeed quite powerful, it very often has to struggle against the demands of more advanced development environments that rely on continuous integration and delivery pipelines. We will compare these tools with a number of real-world case studies, underlining the improvements in how these tools enhance software quality and reduce the time-to-market along with the ability to perform continuous testing.Of course, we also touch upon the related issues when adopting AI-driven testing solutions-the challenges of data privacy and the integration complexity of new tools into existing workflows. By the end of this chapter, you will understand in clear-cut terms the main benefits and limitations and the scope of AI-powered tools, thus making them better decision-makers when it comes to choosing and applying such technology to their software testing processes. © 2025, IGI Global Scientific Publishing. All rights reserved.||Automation; Computer software selection and evaluation; Integration testing; Software quality; Case-studies; Continuous integrations; Continuous testing; Development environment; Real-world; Software Quality; Software test automation; Software-systems; Test Automation; Time to market; Ability testing|Book chapter|Final||Scopus|2-s2.0-105009879839
scopus|Karlsson A.; Lindmaa E.; Sun S.; Staron M.|Karlsson, Albin (59233098900); Lindmaa, Erik (59461382000); Sun, Simin (59398905000); Staron, Miroslaw (6505767603)|59233098900; 59461382000; 59398905000; 6505767603|AI-Based Automotive Test Case Generation: An Action Research Study on Integration of Generative AI into Test Automation Frameworks|2025|Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) |15453 LNCS|||50|66|16|0|10.1007/978-3-031-78392-0_4|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211222986&doi=10.1007%2f978-3-031-78392-0_4&partnerID=40&md5=d4d4bfc3a2216fd6002168a0549b418a|Generative AI is transforming software development, particularly in unit and regression testing. However, it’s rarely used in Hardware-in-the-Loop (HIL) testing due to hardware-specific environments. This paper examines integrating GitHub Copilot into automotive test automation frameworks, focusing on Volvo’s Test Automation Framework (TAF). It explores how Copilot can automate test case generation and compares AI-generated test cases with manually written ones in terms of reliability and robustness. Using an iterative action research methodology, the study evaluates the functional suitability of AI-generated test cases and the challenges of integration. Results show that in the first iteration, 23% of AI-generated test cases passed in Jenkins and received high functionality scores. In the second iteration, this increased to 36%. These findings highlight the potential of Generative AI to enhance HIL testing. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.|Generative AI; Hardware-in-the-Loop (HIL) Testing; Test Automation Framework (TAF); Testcase Generation|Automatic test pattern generation; Automobile testing; Generative adversarial networks; Hardware-in-the-loop simulation; Integration testing; Action research; Automotive tests; Generative AI; Hardware-in-the-loop testing; Research studies; Test automation framework; Test automation frameworks; Test case; Test case generation; Unit testing; Software design|Conference paper|Final||Scopus|2-s2.0-85211222986
scopus|Liu Y.; Wang Q.|Liu, Yin (60004970000); Wang, Quanxin (60005280400)|60004970000; 60005280400|Exploration of experimental teaching mode of software testing course based on OBE concept and deep learning|2025|Discover Artificial Intelligence|5|1|154||||0|10.1007/s44163-025-00403-9|https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011032883&doi=10.1007%2fs44163-025-00403-9&partnerID=40&md5=61846b1ed860fed00271fcfb0b17ddf3|Software testing education is closely related to science and technology. The emerging technological innovation and the development of educational theory require curriculum design and implementation methods to keep pace with the times. This study explores the experimental teaching mode of applying the concept of output-oriented education (OBE) and deep learning technology to the software testing course. Through a detailed literature review, this paper clarifies the challenges faced by the current software testing education and the existing teaching gaps. Then, it puts forward an innovative teaching model design. This study adopts a series of research designs and methods to experiment and verify the effectiveness of teaching mode based on the OBE concept and deep learning in improving the learning effect of software testing courses. Through the rigorous analysis of experimental data, the research results reveal the obvious advantages of this teaching mode in enhancing students' learning motivation, understanding and practical operation ability and suggesting future educational practice and research direction. © The Author(s) 2025.|Deep learning technology; Model of instruction; Output-oriented education (OBE); Software testing education|Curricula; Deep learning; Design; Educational technology; Engineering education; Learning systems; Teaching; Deep learning technology; Experimental teaching modes; Learning technology; Model of instruction; Output-oriented education (OBE); Science and Technology; Software testing education; Software testings; Teaching modes; Technological innovation; Software testing|Article|Final||Scopus|2-s2.0-105011032883
scopus|Ardic B.; Brandt C.; Khatami A.; Swillus M.; Zaidman A.|Ardic, Baris (57220805933); Brandt, Carolin (57219536571); Khatami, Ali (58475870200); Swillus, Mark (58106336100); Zaidman, Andy (18435685400)|57220805933; 57219536571; 58475870200; 58106336100; 18435685400|The qualitative factor in software testing: A systematic mapping study of qualitative methods|2025|Journal of Systems and Software|227||112447||||0|10.1016/j.jss.2025.112447|https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002843686&doi=10.1016%2fj.jss.2025.112447&partnerID=40&md5=3a0d99dd7d0df324862a1632b59733c7|Software testing research has provided metrics on efficiency, error rates, and insights into the effectiveness of testing methodologies and tools. However, these tell only a part of the story. The qualitative dimension, which studies experiences, perceptions, and decision-making processes is crucial, but less prevalent in literature. This study aims to systematically map qualitative research in software testing to consolidate and categorize the methodologies used in qualitative testing research, highlight their importance, and identify patterns, gaps, and future directions. We conducted a systematic mapping study, identifying and analyzing 102 primary studies from 2003 to 2023. We categorized the studies according to research strategies, data collection, and data analysis methods. We identified case studies and grounded theory as the most prevalent research strategies. Researchers primarily used semi-structured interviews and thematic analysis to understand how practitioners work and gather stakeholder perspectives. The subject areas most covered by qualitative studies included software testing processes and risks, and test automation. Areas such as test oracles, and machine learning were underrepresented. We also assessed the quality of reporting and the methodological rigor, emphasizing the challenges and limitations identified during the process. Through this study, we provide a comprehensive overview of qualitative research practices in software testing, revealing trends, gaps, and methodological insights. © 2025 The Authors|Human factors; Qualitative analysis; Qualitative methodology; Software testing; Systematic mapping|Mapping; Software testing; Error rate; Qualitative analysis; Qualitative factors; Qualitative method; Qualitative methodologies; Qualitative research; Research strategy; Software testings; Systematic mapping; Systematic mapping studies; Adversarial machine learning|Article|Final|All Open Access; Hybrid Gold Open Access|Scopus|2-s2.0-105002843686
scopus|Banala S.; Panyaram S.; Selvakumar P.|Banala, Subash (59665598500); Panyaram, Sudheer (59664368200); Selvakumar, P. (57201867763)|59665598500; 59664368200; 57201867763|Artificial intelligence in software testing|2025|Artificial Intelligence for Cloud-Native Software Engineering||||237|262|25|0|10.4018/979-8-3693-9356-7.ch009|https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009873694&doi=10.4018%2f979-8-3693-9356-7.ch009&partnerID=40&md5=0893fcc8bcb09bcdf5a5c84ce3e4370c|AI which is reshaping the landscape of quality assurance (QA) by enhancing efficiency, accuracy, and coverage. Traditionally, software testing has relied heavily on manual and semi-automated processes, often leading to time-consuming and error-prone tasks. AI introduces a new paradigm in software testing, offering advanced methodologies and tools that significantly improve the effectiveness and efficiency of QA practices. Additionally, AI enhances test maintenance and evolution. Traditional test suites require manual updates as software evolves, which can be labor-intensive and prone to oversight. AI-powered tools can automatically adjust test cases and scripts to accommodate changes in the software, reducing the manual effort required to maintain and update tests. By leveraging AI to detect changes in the software and adjust tests accordingly, organizations can ensure that their test suites remain relevant and effective throughout the development lifecycle.Another significant advancement brought about by AI is the optimization of test execution. © 2025, IGI Global Scientific Publishing. All rights reserved.||Automation; Life cycle; Quality assurance; Automated process; Effectiveness and efficiencies; Error prone tasks; Labour-intensive; Optimisations; Quality assurance practices; Software testings; Test case; Test maintenances; Test scripts; Software testing|Book chapter|Final||Scopus|2-s2.0-105009873694
scopus|Poth A.; Rrjolli O.; Arcuri A.|Poth, Alexander (57207597845); Rrjolli, Olsi (57889770900); Arcuri, Andrea (23097099900)|57207597845; 57889770900; 23097099900|Technology adoption performance evaluation applied to testing industrial REST APIs|2025|Automated Software Engineering|32|1|5||||4|10.1007/s10515-024-00477-2|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211119965&doi=10.1007%2fs10515-024-00477-2&partnerID=40&md5=2e90ff188de38cd38412eceacc5bc71f|Testing is an important task within software development. To write test cases and integrate them into an automated test suite requires a significant amount of work. Given a set of requirements and specifications of a software, testing is needed to verify its correctness. When done manually, it is an expensive and error prone task. To facilitate such work, automated test-case generation via tools could be useful. Test-case generation can be facilitated by deterministic algorithm-driven approaches or non-deterministic approaches such as with AI (e.g., evolutionary and LLM). The different approaches come with their strengths and weaknesses, which must be considered when integrating these approaches into a product test procedure in industry. Several novel testing techniques and tools have been developed in academia and industry, but how effective they are and how to integrate them in real-world large industrial scenarios is still unclear. In this paper, a systematic approach is presented to evaluate test-case generation methodologies and integrate them into a scalable enterprise setup. The specific context is black-box testing of REST APIs, based on their OpenAPI schemas. The aim is to facilitate IT product development and service delivery. The proposed Technology Adoption Performance Evaluation (TAPE) approach is evaluated by a case study within the Group IT of Volkswagen AG. We evaluated existing tools such as OpenAPI Generator, EvoMaster and StarCoder which are built on different technologies. Our results show that these tools are of benefit for test engineers to facilitate test-case specification and design within the Group IT of Volkswagen AG. © The Author(s) 2024.|API validation; Benchmarking; LLM; Quality engineering; Requirements-based testing; SBST; Test automation; Test-case generation|Automatic test pattern generation; Benchmarking; Black-box testing; Computer software selection and evaluation; Failure analysis; Integration testing; Requirements engineering; API validation; LLM; Performances evaluation; Quality engineering; Requirement-based testing; SBST; Technology adoption; Test Automation; Test case generation; Volkswagen AG; Software design|Article|Final|All Open Access; Hybrid Gold Open Access|Scopus|2-s2.0-85211119965
scopus|Withunsapphasiri J.; Phannachitta P.; Doungsa-Ard C.|Withunsapphasiri, Jiramed (59789660300); Phannachitta, Passakorn (54917592600); Doungsa-Ard, Chartchai (6507087471)|59789660300; 54917592600; 6507087471|Predicting Test Smell Categories based on Issue Descriptions using Information Retrieval and Machine Learning Techniques|2025|10th International Conference on Digital Arts, Media and Technology, DAMT 2025 and 8th ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering, NCON 2025||||125|130|5|0|10.1109/ECTIDAMTNCON64748.2025.10961982|https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004552037&doi=10.1109%2fECTIDAMTNCON64748.2025.10961982&partnerID=40&md5=b0b2a3beecbfd13722f2450f1382a6bb|Effective software testing is essential for achieving high-quality software products. Various strategies and methods are used to ensure the software meets requirements and functionality, but test smell is one of the challenges to achieving effective software testing. These smells contain various issues, such as execution behavior, semantic inconsistencies, dependency management, inefficiencies, and code-related problems. This study investigates applying information retrieval (IR) and machine learning techniques to predict test smell categories by analyzing natural language issue descriptions and shifting from code-based to issue-based approaches. The result reveals that preprocessing techniques impact model performance. Techniques such as Spacy demonstrated better performance due to their sophisticated language models, while TF-IDF proved effective in distinguishing semantic inconsistencies in textual issue descriptions. Oversampling appeared as a crucial method for handling data imbalance and enhancing model performance across all test smell categories. However, N-gram requires further investigation to capture the relationship in issue descriptions. These findings show the possibility of combining natural language processing with machine learning to predict and address test smell categories, contributing to more reliable software testing practices and reducing the mistakes that will happen. This study can potentially explore additional preprocessing strategies, oversampling techniques, and machine learning models to optimize predictive performance. © 2025 IEEE.|Information Retrieval; Machine Learning; Mining Software Repositories; Software Engineering; Software Testing; Test smells|Application programs; Computer aided software engineering; Computer operating systems; Computer program listings; Computer software maintenance; Computer software selection and evaluation; Integration testing; Program processors; Search engines; Software design; Software packages; Software prototyping; Software quality; Utility programs; Machine learning techniques; Machine-learning; Mining software; Mining software repository; Modeling performance; Natural languages; Semantic inconsistencies; Software repositories; Software testings; Test smell; Model checking|Conference paper|Final||Scopus|2-s2.0-105004552037
scopus|Rao G.; Nandal D.|Rao, Gajender (59759916500); Nandal, Deepak (57192575801)|59759916500; 57192575801|Test Case Optimization using Machine Learning based Hybrid Meta-Heuristic Approach|2025|Journal of Electronic Testing: Theory and Applications (JETTA)|41|2||173|192|19|0|10.1007/s10836-025-06165-7|https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003864871&doi=10.1007%2fs10836-025-06165-7&partnerID=40&md5=7f9408a717daa94ecdd174bde7a7e8bd|Software testing is a critical task that can be used to ensure the quality of the end product. Different types of applications process the input data with respect to a specific operation and its outcomes are generated accordingly. It is essential to test each application as per the supported functionality, and it is also necessary to optimize the test cases for applications to reduce the computational cost. To achieve this goal, there is a need to design different test cases as well as an intelligent solution is required to select and optimize the test cases according to the requirements. Particle swarm optimization (PSO) and Genetic Algorithm (GA) both are capable enough to produce the optimal solutions for software testing. However, there is no provision to perform the classification over their outcomes with respect to test case optimization using machine learning support. This paper presents a hybrid meta-heuristic method that selects the test cases on behalf of their attributes as well as it also performs classification over the test cases under the constraints of the test case’s attributes. For experiments, different classifiers are used (i.e. k-nearest neighbour (KNN), Decision Tree (DT), Logistic Regression (LOG), Support Vector Machine (SVM), Gaussian Naive Bayes (GNB), Stochastic gradient descent (SGD) and Random Forest (RDF) etc.) and analysis shows that GNB and SGD classifiers both have optimal accuracy, precision & recall values. As compared to existing algorithms, i.e. traditional PSO and Genetic algorithm, it outperforms in terms of optimal number of detected errors (1821), error rate (91.05) and coverage rate (90.86363636). The Proposed scheme can be extended to optimize the test cases for other software types, along with real-time interaction and dataset updation support for software testers. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.|Meta-heuristics approaches; Software Testing; Test case generation|Enterprise software; Logistic regression; Software quality; Testbeds; Hybrid metaheuristics; Machine-learning; Meta-heuristic approach; Optimisations; Optimization and genetic algorithms; Particle swarm genetic algorithms; Particle swarm optimization algorithm; Software testings; Test case; Test case generation; Random forests|Article|Final||Scopus|2-s2.0-105003864871
scopus|Niu T.; Lee R.; Lam S.; Hafen J.; Lukow S.; Li N.; Hosemann P.; Gigax J.|Niu, Tongjun (57193006801); Lee, Ross (58781248200); Lam, Sebastian (57899509000); Hafen, Joseph (57219309900); Lukow, Steven (57221818479); Li, Nan (55677088186); Hosemann, Peter (23099630500); Gigax, Jonathan (56066484800)|57193006801; 58781248200; 57899509000; 57219309900; 57221818479; 55677088186; 23099630500; 56066484800|A Novel Machine Learning-Driven Approach to High Throughput Mechanical Testing|2025|JOM|77|4|138632|2121|2133|12|0|10.1007/s11837-024-07063-7|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217198428&doi=10.1007%2fs11837-024-07063-7&partnerID=40&md5=f9ac2ecdccc1c58ec7c99e66025ed38b|Mechanical testing is a critical but often protracted process for evaluating materials. This study demonstrates a novel high-throughput approach that integrates femtosecond laser machining for rapid sample preparation, automated tensile testing of specimen arrays, and machine learning techniques for efficient data analysis. 316L stainless steel and additively manufactured grade 91 steel were used to fashion miniature tensile specimens. The mechanical properties were automatically extracted from the ensuing stress-strain curves using both a supervised deep learning segmentation model (U-Net) and unsupervised clustering methods (k-means, DBSCAN). While all techniques performed acceptably on the more homogeneous 316L samples, the trained U-Net showed superior robustness and accuracy when analyzing the highly heterogeneous grade 91 specimens, with errors 2–3 times lower than the unsupervised approaches compared to manual analysis. The initial expense incurred generating training data for the U-Net was offset by significantly decreased analysis time and improved consistency. This unified methodology, combining machining, automated testing, and machine learning, provides an accelerated workflow for investigating mechanical properties of both additively manufactured and conventional alloys. © The Minerals, Metals & Materials Society 2025.||Deep learning; K-means clustering; Laser beam cutting; Laser materials processing; Network security; Self-supervised learning; Steel testing; Stress-strain curves; Supervised learning; Tensile strength; Tensile testing; Unsupervised learning; 316 L stainless steel; Femtosecond laser machining; Grade 91 steel; High-throughput; High-throughput approaches; Machine learning techniques; Machine-learning; Mechanical; Property; Sample preparation; Femtosecond lasers|Article|Final||Scopus|2-s2.0-85217198428
